Income_source,Savings_habits,Borrowing_status,Financial_education,Age,Gender,Marital_status,Educational_level,Geographic_location,NIDA_number,Smartphone_ownership,has_bank_account
dependents,no,yes,False,80,female,widowed,no formal education,rural,yes,no,one account
dependents,no,no,False,17,female,singlenever married,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,21,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,48,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,62,female,widowed,some primary,rural,yes,no,one account
farmers and fishers,yes,yes,True,32,male,marriedliving together,university or higher education completed,rural,no,no,one account
farmers and fishers,no,no,False,63,female,divorcedseparated,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,67,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,yes,False,29,male,marriedliving together,primary completed,rural,yes,no,one account
traders  nonagricultural,no,yes,False,48,female,widowed,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,36,male,marriedliving together,no formal education,rural,no,no,one account
dependents,no,yes,False,46,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,16,female,singlenever married,some secondary,rural,no,no,one account
piece workcasual labor,no,no,False,56,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,no,yes,False,31,male,marriedliving together,primary completed,rural,no,yes,one account
farmers and fishers,yes,no,True,62,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,38,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,yes,False,53,female,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,61,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,no,no,True,72,female,widowed,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,64,male,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,no,yes,False,50,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,yes,no,False,53,female,marriedliving together,primary completed,rural,no,no,one account
traders  agricultural products,no,yes,False,25,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,38,male,marriedliving together,no formal education,rural,yes,no,one account
farmers and fishers,no,yes,False,70,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,50,female,widowed,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,32,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,34,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,55,female,singlenever married,some primary,rural,no,no,one account
farmers and fishers,no,no,False,24,female,singlenever married,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,76,male,divorcedseparated,no formal education,rural,no,no,one account
dependents,no,yes,False,20,female,singlenever married,secondary competedo level,rural,no,yes,one account
farmers and fishers,no,yes,False,42,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,51,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,34,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,61,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,40,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,yes,yes,False,56,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,no,False,20,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,70,male,marriedliving together,some primary,rural,no,no,one account
farmers and fishers,no,no,False,35,male,marriedliving together,some secondary,rural,yes,no,one account
dependents,yes,no,False,58,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,no,False,23,male,singlenever married,no formal education,rural,no,yes,one account
piece workcasual labor,no,yes,False,39,female,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,no,no,False,40,female,divorcedseparated,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,29,male,singlenever married,primary completed,rural,yes,no,one account
farmers and fishers,yes,yes,False,32,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,53,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,53,male,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,yes,yes,False,44,male,marriedliving together,some primary,rural,yes,no,one account
dependents,yes,no,False,33,female,marriedliving together,secondary competedo level,rural,no,no,one account
dependents,yes,no,True,68,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,yes,False,35,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,yes,False,27,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,19,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,yes,no,False,35,female,divorcedseparated,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,59,male,marriedliving together,primary completed,rural,yes,no,one account
farmers and fishers,no,no,False,36,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,no,False,63,female,marriedliving together,primary completed,rural,no,no,one account
service providers,no,yes,False,41,female,divorcedseparated,no formal education,rural,no,no,one account
traders  nonagricultural,yes,no,False,59,female,marriedliving together,primary completed,rural,no,yes,one account
dependents,no,no,False,46,female,marriedliving together,no formal education,rural,no,no,one account
traders  agricultural products,no,yes,True,48,female,divorcedseparated,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,28,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,no,yes,False,57,male,divorcedseparated,primary completed,rural,no,no,one account
farmers and fishers,no,no,True,51,female,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,73,female,widowed,some primary,rural,no,no,one account
welfare,no,no,False,56,female,marriedliving together,primary completed,rural,no,no,one account
traders  nonagricultural,yes,yes,False,33,female,divorcedseparated,primary completed,rural,no,yes,one account
dependents,no,no,False,70,male,marriedliving together,some primary,rural,no,no,one account
piece workcasual labor,no,no,False,75,male,divorcedseparated,no formal education,rural,no,no,one account
dependents,yes,no,False,24,female,marriedliving together,secondary competedo level,rural,no,yes,one account
dependents,yes,no,False,17,female,marriedliving together,primary completed,rural,no,no,one account
service providers,yes,yes,False,43,female,marriedliving together,no formal education,rural,no,no,one account
piece workcasual labor,no,no,False,45,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,True,25,female,marriedliving together,primary completed,rural,no,no,one account
dependents,no,no,False,57,female,marriedliving together,primary completed,rural,yes,no,one account
piece workcasual labor,yes,yes,False,54,male,marriedliving together,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,False,40,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,22,female,marriedliving together,primary completed,rural,no,no,one account
dependents,yes,yes,False,70,male,divorcedseparated,primary completed,rural,yes,no,one account
piece workcasual labor,yes,no,False,33,male,marriedliving together,primary completed,rural,no,no,one account
piece workcasual labor,yes,no,False,47,female,widowed,primary completed,rural,no,no,one account
farmers and fishers,yes,yes,True,67,male,marriedliving together,primary completed,rural,yes,no,one account
